identifier,nz_company_canterbury_exploration_fracking_gas_oil,earthquake_canterbury_talks_commission_speaks_economic_earthquakes,christchurch_earthquake_high_house_party_including_damaged,mayor_christchurch_bob_parker_architect_river_writer,quake_christchurch_earthquake_talks_experience_feb_nz,christchurch_earthquake_city_talks_business_recovery_earthquakes,earthquake_earthquakes_talks_canterbury_university_community_lessons,nz_christchurch_civil_earthquake_national_defence_approach,earthquake_buildings_christchurch_city_building_heritage_notes,christchurch_earthquake_feb_talks_includes_sep_dunedin,christchurch_earthquake_city_people_residents_describes_quake,insurance_christchurch_earthquakes_rebuilding_executive_companies_nz
INNZ-8494,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.983383685800604,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689
INNZ-8668,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.0998677248677249,0.199074074074074,0.232142857142857,0.0337301587301587,0.430555555555556,0.000661375661375661,0.000661375661375661,0.000661375661375661
INNZ-8841,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.257709251101322,0.147577092511013,0.588105726872247,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056
INNZ-8875,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.984550561797753,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247
INNZ-9051,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.728690228690229,0.104989604989605,0.053014553014553,0.104989604989605,0.00103950103950104,0.00103950103950104
INNZ-9147,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.163461538461538,0.80448717948718,0.00320512820512821
INNZ-9181,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.14185393258427,0.212078651685393,0.00140449438202247,0.00140449438202247,0.492977528089888,0.14185393258427,0.00140449438202247,0.00140449438202247
INNZ-9201,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.655228758169935,0.00163398692810458,0.00163398692810458,0.32843137254902,0.00163398692810458
INNZ-9217,0.000509683995922528,0.000509683995922528,0.000509683995922528,0.000509683995922528,0.000509683995922528,0.484709480122324,0.000509683995922528,0.000509683995922528,0.000509683995922528,0.000509683995922528,0.510193679918451,0.000509683995922528
INNZ-9231,0.115091463414634,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.762957317073171,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.115091463414634,0.00076219512195122
INNZ-9235,0.0669291338582677,0.263779527559055,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.65748031496063,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525
INNZ-9250,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.976190476190476,0.00216450216450216,0.00216450216450216
INNZ-9471,0.00116009280742459,0.00116009280742459,0.175174013921114,0.00116009280742459,0.175174013921114,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.291183294663573,0.349187935034803,0.00116009280742459,0.00116009280742459
INNZ-9508,0.0316377171215881,0.000620347394540943,0.372828784119107,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.155707196029777,0.000620347394540943,0.434863523573201,0.000620347394540943,0.000620347394540943,0.000620347394540943
INNZ-9527,0.00151057401812689,0.530211480362538,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.22809667673716,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.22809667673716,0.00151057401812689
INNZ-9563,0.000941619585687382,0.000941619585687382,0.0480225988700565,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.283427495291902,0.000941619585687382,0.37758945386064,0.283427495291902,0.000941619585687382
INNZ-9931,0.00103950103950104,0.00103950103950104,0.208939708939709,0.00103950103950104,0.00103950103950104,0.780665280665281,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104
INNZ-10017,0.00058411214953271,0.00058411214953271,0.117406542056075,0.00058411214953271,0.00058411214953271,0.00058411214953271,0.00058411214953271,0.00058411214953271,0.876752336448598,0.00058411214953271,0.00058411214953271,0.00058411214953271
INNZ-10311,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.529761904761905,0.166005291005291,0.298280423280423,0.000661375661375661,0.000661375661375661,0.000661375661375661
INNZ-10388,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.24802371541502,0.000988142292490119,0.000988142292490119,0.198616600790514,0.495059288537549,0.000988142292490119,0.0503952569169961,0.000988142292490119
INNZ-10392,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.587890625,0.001953125,0.294921875,0.099609375,0.001953125,0.001953125,0.001953125
INNZ-10457,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.692687747035573,0.297430830039526,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119
INNZ-10465,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.396988906497623,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.357369255150555,0.23851030110935,0.000792393026941363,0.000792393026941363
INNZ-10480,0.0936724565756824,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.714019851116625,0.186724565756824,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943
INNZ-10489,0.000988142292490119,0.643280632411067,0.0503952569169961,0.000988142292490119,0.000988142292490119,0.099802371541502,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.198616600790514
INNZ-10540,0.000941619585687382,0.37758945386064,0.236346516007533,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.37758945386064,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382
INNZ-11324,0.644230769230769,0.00320512820512821,0.323717948717949,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821
INNZ-11343,0.00131233595800525,0.460629921259842,0.13254593175853,0.198162729658793,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.198162729658793,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525
INNZ-11521,0.000452079566003617,0.000452079566003617,0.203887884267631,0.000452079566003617,0.000452079566003617,0.000452079566003617,0.000452079566003617,0.18128390596745,0.407323688969259,0.000452079566003617,0.203887884267631,0.000452079566003617
INNZ-12184,0.00103950103950104,0.312889812889813,0.676715176715177,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104
INNZ-12234,0.000620347394540943,0.0626550868486352,0.403846153846154,0.000620347394540943,0.000620347394540943,0.12468982630273,0.000620347394540943,0.0936724565756824,0.0936724565756824,0.000620347394540943,0.0936724565756824,0.12468982630273
INNZ-12458,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.901785714285714,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143
INNZ-12912,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.274281805745554,0.205882352941176,0.205882352941176,0.308481532147743,0.000683994528043776,0.000683994528043776,0.000683994528043776
INNZ-12919,0.000509683995922528,0.000509683995922528,0.127930682976555,0.000509683995922528,0.000509683995922528,0.000509683995922528,0.127930682976555,0.000509683995922528,0.408256880733945,0.000509683995922528,0.331804281345566,0.000509683995922528
INNZ-12928,0.00123152709359606,0.124384236453202,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.616995073891626,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.247536945812808
INNZ-13599,0.00058411214953271,0.00058411214953271,0.14661214953271,0.00058411214953271,0.00058411214953271,0.00058411214953271,0.14661214953271,0.00058411214953271,0.497079439252336,0.00058411214953271,0.205023364485981,0.00058411214953271
INNZ-16592,0.000523012552301255,0.000523012552301255,0.994246861924686,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.000523012552301255
INNZ-16789,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.755220417633411,0.233178654292343,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459
INNZ-16812,0.0714962121212121,0.000473484848484848,0.000473484848484848,0.000473484848484848,0.0951704545454545,0.000473484848484848,0.000473484848484848,0.213541666666667,0.616003787878788,0.000473484848484848,0.000473484848484848,0.000473484848484848
INNZ-16828,0.00123152709359606,0.062807881773399,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.062807881773399,0.00123152709359606,0.00123152709359606,0.863300492610838,0.00123152709359606,0.00123152709359606
INNZ-17036,0.000601684717208183,0.361612515042118,0.000601684717208183,0.0306859205776173,0.000601684717208183,0.000601684717208183,0.391696750902527,0.211191335740072,0.000601684717208183,0.000601684717208183,0.000601684717208183,0.000601684717208183
INNZ-18255,0.00216450216450216,0.00216450216450216,0.976190476190476,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216
INNZ-18704,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.987938596491228,0.00109649122807018,0.00109649122807018,0.00109649122807018
INNZ-19035,0.00123152709359606,0.185960591133005,0.370689655172414,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.432266009852217,0.00123152709359606,0.00123152709359606,0.00123152709359606
INNZ-19464,0.000523012552301255,0.000523012552301255,0.994246861924686,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.000523012552301255
INNZ-21527,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.24802371541502,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.24802371541502,0.000988142292490119,0.346837944664032,0.149209486166008,0.000988142292490119
INNZ-21538,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.82258064516129,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645
INNZ-22162,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.240566037735849,0.712264150943396,0.00471698113207547
INNZ-22761,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.94811320754717,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
INNZ-25881,0.000537056928034372,0.295918367346939,0.000537056928034372,0.376476906552094,0.0542427497314715,0.000537056928034372,0.000537056928034372,0.000537056928034372,0.000537056928034372,0.000537056928034372,0.26906552094522,0.000537056928034372
INNZ-25883,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.94811320754717,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
INNZ-26959,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.987938596491228,0.00109649122807018
INNZ-26963,0.00242718446601942,0.366504854368932,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.609223300970874,0.00242718446601942
INNZ-26997,0.00076219512195122,0.00076219512195122,0.229420731707317,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.0769817073170732,0.00076219512195122,0.00076219512195122,0.419969512195122,0.267530487804878,0.00076219512195122
INNZ-27740,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.901785714285714,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143
INNZ-28604,0.000462534690101758,0.000462534690101758,0.208603145235893,0.000462534690101758,0.000462534690101758,0.000462534690101758,0.000462534690101758,0.000462534690101758,0.67113783533765,0.116096207215541,0.000462534690101758,0.000462534690101758
INNZ-28626,0.00471698113207547,0.00471698113207547,0.240566037735849,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.712264150943396,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
INNZ-29270,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.932098765432099,0.00617283950617284
INNZ-29277,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.932098765432099,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284
INNZ-29301,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.152567975830816,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.152567975830816,0.681268882175227,0.00151057401812689
INNZ-29323,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.992209631728045,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425
INNZ-29324,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.992476060191518,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.000683994528043776
INNZ-29333,0.000941619585687382,0.283427495291902,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.471751412429379,0.000941619585687382,0.236346516007533,0.000941619585687382
INNZ-29461,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.0361189801699717,0.000708215297450425,0.106940509915014,0.000708215297450425,0.708923512747875,0.142351274787535,0.000708215297450425,0.000708215297450425
INNZ-29564,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.487864077669903,0.00242718446601942,0.487864077669903,0.00242718446601942
INNZ-29565,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.976190476190476,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216
INNZ-29567,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.932098765432099,0.00617283950617284,0.00617283950617284
INNZ-29569,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.240566037735849,0.712264150943396,0.00471698113207547
INNZ-29613,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.976190476190476,0.00216450216450216
INNZ-29657,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.263779527559055,0.13254593175853,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.198162729658793,0.39501312335958,0.00131233595800525,0.00131233595800525
INNZ-29698,0.00163398692810458,0.98202614379085,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458
INNZ-29869,0.00163398692810458,0.00163398692810458,0.246732026143791,0.32843137254902,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.165032679738562,0.00163398692810458,0.246732026143791,0.00163398692810458,0.00163398692810458
INNZ-29922,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.35252808988764,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.633426966292135,0.00140449438202247,0.00140449438202247
INNZ-29934,0.00140449438202247,0.35252808988764,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.633426966292135,0.00140449438202247
INNZ-30179,0.000640204865556978,0.000640204865556978,0.288732394366197,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.448783610755442,0.256722151088348
INNZ-30193,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.0908273381294964,0.000899280575539568,0.000899280575539568,0.315647482014388,0.405575539568345,0.000899280575539568,0.000899280575539568,0.180755395683453
INNZ-30208,0.000375657400450789,0.000375657400450789,0.113072877535687,0.000375657400450789,0.000375657400450789,0.000375657400450789,0.000375657400450789,0.113072877535687,0.770473328324568,0.000375657400450789,0.000375657400450789,0.000375657400450789
INNZ-30220,0.0503952569169961,0.24802371541502,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.346837944664032,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.346837944664032
INNZ-30303,0.00276243093922652,0.00276243093922652,0.417127071823204,0.00276243093922652,0.00276243093922652,0.55524861878453,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652
INNZ-30325,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.220394736842105,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.604166666666667,0.165570175438597
INNZ-30333,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.0348837209302326,0.240082079343365,0.718878248974008,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.000683994528043776
INNZ-30355,0.062807881773399,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.247536945812808,0.124384236453202,0.00123152709359606,0.00123152709359606,0.555418719211823,0.00123152709359606
INNZ-30358,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.658991228070176,0.330043859649123,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018
INNZ-30370,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.257709251101322,0.000734214390602056,0.331130690161527,0.404552129221733
INNZ-30384,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.491830065359477,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.491830065359477,0.00163398692810458
INNZ-30400,0.000825082508250825,0.124587458745875,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.28960396039604,0.000825082508250825,0.000825082508250825,0.372112211221122,0.207095709570957
INNZ-30416,0.000860585197934596,0.0438898450946644,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.0869191049913942,0.000860585197934596,0.216006884681583,0.646299483648881
INNZ-30439,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.323717948717949,0.644230769230769,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821
INNZ-30440,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.198162729658793,0.0669291338582677,0.00131233595800525,0.00131233595800525,0.723097112860892,0.00131233595800525
INNZ-30446,0.0907473309608541,0.00177935943060498,0.0907473309608541,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.0907473309608541,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.713523131672598,0.00177935943060498
INNZ-30460,0.149209486166008,0.000988142292490119,0.000988142292490119,0.0503952569169961,0.000988142292490119,0.000988142292490119,0.24802371541502,0.000988142292490119,0.000988142292490119,0.544466403162055,0.000988142292490119,0.000988142292490119
INNZ-30461,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.12378640776699,0.00242718446601942,0.245145631067961,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.609223300970874,0.00242718446601942
INNZ-30505,0.0374449339207048,0.000734214390602056,0.0374449339207048,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.000734214390602056,0.441262848751836,0.477973568281938,0.000734214390602056
INNZ-30542,0.00116009280742459,0.00116009280742459,0.175174013921114,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.291183294663573,0.523201856148492
