identifier,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.1,0.94811320754717,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.2,0.00276243093922652,0.279005524861878,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.693370165745856,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.3,0.12378640776699,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.487864077669903,0.245145631067961,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.12378640776699
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.4,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.220394736842105,0.00109649122807018,0.00109649122807018,0.658991228070176,0.00109649122807018,0.00109649122807018,0.110745614035088,0.00109649122807018
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.5,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.98202614379085,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.6,0.476415094339623,0.00471698113207547,0.00471698113207547,0.476415094339623,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.1.7,0.385496183206107,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.576335877862595,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.2.1,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.96474358974359,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.2.2,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.958015267175573,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.2.3,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.189265536723164,0.000941619585687382,0.236346516007533,0.565913370998117,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.2.4,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.55524861878453,0.00276243093922652,0.00276243093922652,0.417127071823204,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.2.5,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.932098765432099
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.2.6,0.00320512820512821,0.644230769230769,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.323717948717949,0.00320512820512821,0.00320512820512821,0.00320512820512821
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.1,0.00276243093922652,0.140883977900552,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.417127071823204,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.417127071823204
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.2,0.00381679389312977,0.00381679389312977,0.958015267175573,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.3,0.00123152709359606,0.00123152709359606,0.370689655172414,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.185960591133005,0.185960591133005,0.247536945812808
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.4,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.279005524861878,0.00276243093922652,0.417127071823204,0.279005524861878
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.5,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.958015267175573,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.6,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.543290043290043,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.435064935064935
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.7,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.730582524271845,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.245145631067961,0.00242718446601942
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.4.1,0.00381679389312977,0.00381679389312977,0.194656488549618,0.00381679389312977,0.00381679389312977,0.767175572519084,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.4.2,0.00140449438202247,0.633426966292135,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.35252808988764,0.00140449438202247,0.00140449438202247,0.00140449438202247
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.4.3,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.969613259668508,0.00276243093922652,0.00276243093922652,0.00276243093922652
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.4.4,0.00617283950617284,0.00617283950617284,0.314814814814815,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.623456790123457
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.5.1,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.487864077669903,0.487864077669903,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.5.2,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.279005524861878,0.00276243093922652,0.00276243093922652,0.693370165745856,0.00276243093922652,0.00276243093922652,0.00276243093922652
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.5.3,0.00131233595800525,0.00131233595800525,0.0669291338582677,0.0669291338582677,0.00131233595800525,0.00131233595800525,0.39501312335958,0.460629921259843,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.6.1,0.0770392749244713,0.00151057401812689,0.00151057401812689,0.152567975830816,0.00151057401812689,0.00151057401812689,0.756797583081571,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.6.2,0.001953125,0.001953125,0.001953125,0.001953125,0.783203125,0.001953125,0.197265625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.6.3,0.00076219512195122,0.153201219512195,0.00076219512195122,0.34375,0.305640243902439,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.191310975609756
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.7.1,0.268683274021352,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.713523131672598,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.7.2,0.00320512820512821,0.163461538461538,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.80448717948718
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.7.3,0.000661375661375661,0.000661375661375661,0.529761904761905,0.000661375661375661,0.463624338624339,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.7.4,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.712264150943396,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.240566037735849
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.7.5,0.00471698113207547,0.476415094339623,0.476415094339623,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.8.1,0.00163398692810458,0.491830065359477,0.00163398692810458,0.00163398692810458,0.165032679738562,0.165032679738562,0.165032679738562,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.8.2,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.767175572519084,0.00381679389312977,0.00381679389312977,0.194656488549618,0.00381679389312977,0.00381679389312977
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.8.3,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.490234375,0.490234375,0.001953125
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.8.4,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.96474358974359
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.9.1,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.163461538461538,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.80448717948718
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.9.2,0.00216450216450216,0.00216450216450216,0.435064935064935,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.11038961038961,0.00216450216450216,0.435064935064935
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.9.3,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.633426966292135,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.35252808988764,0.00140449438202247
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.9.4,0.00140449438202247,0.212078651685393,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.212078651685393,0.35252808988764,0.00140449438202247,0.212078651685393
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.10.1,0.00140449438202247,0.0716292134831461,0.00140449438202247,0.00140449438202247,0.633426966292135,0.00140449438202247,0.00140449438202247,0.212078651685393,0.0716292134831461,0.00140449438202247,0.00140449438202247,0.00140449438202247
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.10.2,0.00320512820512821,0.00320512820512821,0.163461538461538,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.323717948717949,0.00320512820512821,0.483974358974359
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.10.3,0.5355871886121,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.0907473309608541,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.357651245551601
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.10.4,0.156964656964657,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.312889812889813,0.00103950103950104,0.104989604989605,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.416839916839917
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.11.1,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.958015267175573,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.11.2,0.00276243093922652,0.00276243093922652,0.279005524861878,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.693370165745856,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.11.3,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.984550561797753,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.11.4,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.323717948717949,0.00320512820512821,0.00320512820512821,0.644230769230769,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.11.5,0.00276243093922652,0.00276243093922652,0.417127071823204,0.417127071823204,0.00276243093922652,0.00276243093922652,0.140883977900552,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.12.1,0.099609375,0.001953125,0.001953125,0.001953125,0.685546875,0.001953125,0.197265625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.12.2,0.984550561797753,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.12.3,0.00471698113207547,0.94811320754717,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.12.4,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.82258064516129,0.0161290322580645,0.0161290322580645,0.0161290322580645
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.12.5,0.00320512820512821,0.00320512820512821,0.96474358974359,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.12.6,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.455357142857143,0.455357142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.12.7,0.001953125,0.001953125,0.685546875,0.001953125,0.001953125,0.001953125,0.294921875,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.13.1,0.00381679389312977,0.00381679389312977,0.576335877862595,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.385496183206107,0.00381679389312977,0.00381679389312977
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.13.2,0.246732026143791,0.00163398692810458,0.736928104575163,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.13.3,0.543290043290043,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.11038961038961,0.326839826839827,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.13.4,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.329396325459318,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.263779527559055,0.198162729658793,0.198162729658793,0.00131233595800525,0.00131233595800525
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.13.5,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.901785714285714,0.00892857142857143,0.00892857142857143
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.14.1,0.00116009280742459,0.00116009280742459,0.581206496519722,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.349187935034803,0.00116009280742459,0.0591647331786543
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.14.2,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.417127071823204,0.140883977900552,0.00276243093922652,0.279005524861878,0.140883977900552,0.00276243093922652
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.14.3,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.197265625,0.783203125,0.001953125
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.14.4,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.476415094339623,0.00471698113207547,0.476415094339623,0.00471698113207547,0.00471698113207547,0.00471698113207547
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.14.5,0.00320512820512821,0.00320512820512821,0.163461538461538,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.323717948717949,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.483974358974359
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.14.6,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.247536945812808,0.432266009852217,0.00123152709359606,0.00123152709359606,0.309113300492611,0.00123152709359606,0.00123152709359606
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.14.7,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.736928104575163,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.246732026143791,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.15.1,0.152567975830816,0.303625377643505,0.152567975830816,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.379154078549849,0.00151057401812689,0.00151057401812689
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.15.2,0.00177935943060498,0.268683274021352,0.624555160142349,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.0907473309608541,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.15.3,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.94811320754717,0.00471698113207547,0.00471698113207547
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.16.1,0.00617283950617284,0.00617283950617284,0.623456790123457,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.314814814814815,0.00617283950617284
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.16.2,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.969613259668508,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.16.3,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.0770392749244713,0.454682779456193,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.454682779456193,0.00151057401812689,0.00151057401812689
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.16.4,0.00617283950617284,0.932098765432099,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.16.5,0.00151057401812689,0.983383685800604,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.16.6,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.98202614379085,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.17.1,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.140883977900553,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.831491712707182,0.00276243093922652
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.17.2,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.932098765432099,0.00617283950617284
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.17.3,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.82258064516129,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.17.4,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.693370165745856,0.00276243093922652,0.279005524861878
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.17.5,0.00471698113207547,0.94811320754717,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.17.6,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.12378640776699,0.366504854368932,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.487864077669903,0.00242718446601942,0.00242718446601942,0.00242718446601942
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.18.1,0.00276243093922652,0.00276243093922652,0.693370165745856,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.279005524861878,0.00276243093922652
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.18.2,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.901785714285714,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.18.3,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.179715302491103,0.357651245551601,0.446619217081851,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.18.4,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.476415094339623,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.476415094339623,0.00471698113207547,0.00471698113207547,0.00471698113207547
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.18.5,0.00471698113207547,0.94811320754717,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.18.6,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.94811320754717,0.00471698113207547
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.18.7,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.932098765432099,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.18.8,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.366504854368932,0.487864077669903,0.00242718446601942,0.12378640776699,0.00242718446601942,0.00242718446601942,0.00242718446601942
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.18.9,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.483974358974359,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.483974358974359,0.00320512820512821,0.00320512820512821
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.18.10,0.00177935943060498,0.268683274021352,0.268683274021352,0.00177935943060498,0.44661921708185,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.19.1,0.000941619585687382,0.000941619585687382,0.0480225988700565,0.000941619585687382,0.518832391713748,0.283427495291902,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.142184557438795,0.000941619585687382,0.000941619585687382
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.19.2,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.736928104575163,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.246732026143791,0.00163398692810458
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.19.3,0.00242718446601942,0.366504854368932,0.00242718446601942,0.366504854368932,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.12378640776699,0.00242718446601942,0.12378640776699
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.19.4,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.932098765432099,0.00617283950617284,0.00617283950617284
